Player,Player_ID,SEASON_ID,League_id,Team_id,Team_Abbreviation,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION
Lindsay Allen,1628263.0,2017-18,10,1611661313.0,NYL,23.0,28,0,376.0,23,62,0.371,0,13,0.0,7,10,0.7,10,32,42,62,16,1,19,24,53,,,,
Lindsay Allen,1628263.0,2018-19,10,1611661319.0,LVA,24.0,24,6,358.0,28,73,0.384,1,16,0.063,17,24,0.708,3,27,30,69,15,0,21,17,74,,,,
Lindsay Allen,1628263.0,2020-21,10,1611661319.0,LVA,26.0,21,21,284.0,28,67,0.418,6,18,0.333,8,10,0.8,6,17,23,51,7,1,16,20,70,,,,
Lindsay Allen,1628263.0,2021-22,10,1611661325.0,IND,27.0,32,8,571.0,65,152,0.428,14,47,0.298,30,37,0.811,9,39,48,96,17,3,31,34,174,,,,
Lindsay Allen,1628263.0,2022-23,10,1611661324.0,MIN,28.0,9,0,134.0,20,38,0.526,8,14,0.571,12,13,0.923,0,14,14,31,2,0,7,11,60,,,,
Lindsay Allen,1628263.0,2023-24,10,1611661324.0,MIN,29.0,29,20,698.0,65,163,0.399,7,34,0.206,42,53,0.792,17,54,71,130,17,3,37,61,179,,,,
Lindsay Allen,1628263.0,2024-25,10,1611661329.0,CHI,29.0,40,28,950.0,104,223,0.466,14,48,0.292,42,52,0.808,13,67,80,157,32,7,64,67,264,,,,
Rebecca Allen,204296.0,2015-16,10,1611661313.0,NYL,23.0,2,0,34.0,3,10,0.3,0,4,0.0,0,0,0.0,2,7,9,0,3,2,3,1,6,,,,
Rebecca Allen,204296.0,2016-17,10,1611661313.0,NYL,24.0,21,6,280.0,45,98,0.459,17,30,0.567,13,15,0.867,12,23,35,11,9,11,13,35,120,,,,
Rebecca Allen,204296.0,2017-18,10,1611661313.0,NYL,25.0,33,0,304.0,38,101,0.376,15,44,0.341,2,6,0.333,13,54,67,17,12,13,18,35,93,,,,
Rebecca Allen,204296.0,2018-19,10,1611661313.0,NYL,26.0,28,0,291.0,38,101,0.376,10,38,0.263,21,25,0.84,13,35,48,8,9,11,16,36,107,,,,
Rebecca Allen,204296.0,2019-20,10,1611661313.0,NYL,27.0,24,2,412.0,65,156,0.417,29,68,0.426,13,16,0.813,12,49,61,17,12,18,17,51,172,,,,
Rebecca Allen,204296.0,2021-22,10,1611661313.0,NYL,29.0,25,13,605.0,74,216,0.343,48,126,0.381,33,37,0.892,19,73,92,28,40,31,21,54,229,,,,
Rebecca Allen,204296.0,2022-23,10,1611661313.0,NYL,30.0,25,19,523.0,64,169,0.379,26,83,0.313,20,24,0.833,8,76,84,31,19,24,24,48,174,,,,
Rebecca Allen,204296.0,2023-24,10,1611661323.0,CON,31.0,40,27,858.0,98,240,0.408,40,115,0.348,19,27,0.704,28,85,113,37,37,50,34,77,255,,,,
Rebecca Allen,204296.0,2024-25,10,1611661317.0,PHO,32.0,18,18,447.0,53,126,0.421,25,70,0.357,2,3,0.667,13,58,71,20,17,12,18,35,133,,,,
Laeticia Amihere,1641656.0,2023-24,10,1611661330.0,ATL,22.0,21,0,147.0,17,42,0.405,0,1,0.0,22,41,0.537,5,15,20,4,5,9,11,21,56,,,,
